name,Cactus?,New?,Family,Subfamily,Tribe,Genus,Subgenus,Species group,Species subgroup,Species,Stock ID,NDSSC ID,genome source,genome accession,citation,read type,assm size,genome N50,sample type,sex,#,stage,material provider,location,GPS,country,collection date,original source,comments
Zaprionus ghesquierei,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,inermis,,ghesquierei,jd01ghe,,NCBI GenBank,GCA_018904095.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"198,077,797","8,961,507",lab line,M,,adult,Daniel Matute,,,,,isoF from Jean David,
Zaprionus inermis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,inermis,,inermis,18BSZ10,,NCBI GenBank,GCA_018151445.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"149,549,994","5,752,227",lab line,M,,adult,Daniel Matute,Sao Tome Island,,Sao Tome and Principe,2018,collected by Aaron Comeault,
Zaprionus kolodkinae,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,inermis,,kolodkinae,jd01k,,NCBI GenBank,GCA_018901885.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"182,973,347","6,507,380",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Zaprionus tuberculatus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,tuberculatus,tuberculatus,,,,,via Aaron Comeault,PB Sequel + Hi-C,"176,343,546","21,326,001",,,,,,,,,,,
Zaprionus sepsoides,0,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,tuberculatus,sepsoides,z_sepsoides,,NCBI SRA,SRR13131085,"Suvorov et al. 2021, Curr Bio",Illumina + SPAdes,"151,943,508","11,841",lab line,M,,adult,Daniel Matute,Mayotte,,France,,Jean David,
Zaprionus tsacasi,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,tuberculatus,tsacasi,jd01t,,NCBI GenBank,GCA_018904105.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"165,518,990","5,453,558",lab line,M,,adult,Daniel Matute,,,,,Jean David,
Zaprionus ornatus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,ornatus,jd01o,,NCBI GenBank,GCA_018904035.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"206,772,757","11,228,854",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Zaprionus africanus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,africanus,BS06,,NCBI GenBank,GCA_018151435.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"162,493,599","11,319,005",lab line,M,,adult,Daniel Matute,,,,,,
Zaprionus gabonicus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,gabonicus,jd01gab,,NCBI GenBank,GCA_018903695.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"187,602,806","13,481,452",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Zaprionus indianus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,indianus,RCR04,,NCBI GenBank,GCA_018904595.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"197,260,855","6,768,749",lab line,M,,adult,Daniel Matute,,,,,,
Zaprionus capensis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,capensis,jd01cap,,NCBI GenBank,GCA_018903675.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"166,762,837","16,897,986",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Zaprionus taronus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,taronus,st01t,,NCBI GenBank,GCA_018901805.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"162,912,716","5,997,490",lab line,M,,adult,Daniel Matute,,,,,,
Zaprionus davidi,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,davidi,jd01d,,NCBI GenBank,GCA_018903715.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"156,049,829","16,225,587",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Zaprionus vittiger,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,vittiger,jd01v,,NCBI GenBank,GCA_018904025.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"162,326,431","8,723,810",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Zaprionus lachaisei,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,lachaisei,jd01l,,NCBI GenBank,GCA_018901815.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"148,387,969","9,167,822",lab line,M,,adult,Daniel Matute,,,,,,
Zaprionus nigranus,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,nigranus,st01n,,NCBI GenBank,GCA_018903425.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"175,473,336","2,235,796",lab line,M,,adult,Daniel Matute,Sao Tome Island,,Sao Tome and Principe,2019,,
Zaprionus camerounensis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Zaprionus,Zaprionus,armatus,vittiger,camerounensis,jd01cam,,NCBI GenBank,GCA_018904165.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"167,162,588","14,525,333",lab line,M,,adult,Daniel Matute,,,,,isofemale line from J. David,
Drosophila quadrilineata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,quadrilineata,quadrilineata,quad-TMU,,NCBI GenBank,GCA_018150725.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"202,639,777","17,381,606",lab line,M,,adult,,,,,,,
Drosophila sternopleuralis,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,histrio,,sternopleuralis,917001,,NCBI SRA,"SRR12849573,SRR12849644        ","Khallaf et al. 2021, Nat Comm",Illumina,"151,721,447","2,531",lab line,,,adult,,,,,,,
Drosophila pruinosa,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,incertae sedis,,pruinosa,iso-A1 I-9,,NCBI GenBank,GCA_018150935.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"201,065,926","17,664,120",lab line,M,,adult,Artyom Kopp,,,Cameroon,,inbred derivative of strain obtained from Jean-Robert David,
Drosophila rubida,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,hypocausta,rubida,PH 161,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"138,863,325","26,394,667",lab line,F,17,adult,Jan Hrcek,"Paluma, Queensland","-19.0064333, 146.2122",Australia,2017,Jan Hrcek,
Drosophila hypocausta,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,hypocausta,hypocausta,(BGS) 3146.45,15115-1871.04,NCBI GenBank,PENDING,Kevin Wei - pending publication,ONT R9.4.1 + Illumina,"157,969,337","27,950,571",lab line,M,50,adult,Artyom Kopp,,,,,,
Drosophila siamana,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,hypocausta,siamana,(Ehime) 1741.00-TC,15111-1741.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"149,801,888","5,470,436",lab line,M,50,adult,Artyom Kopp,Siem Reap,,Cambodia,1968,,
Drosophila immigrans,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,immigrans,immigrans,,15111.1731-12,NCBI GenBank,GCA_018153375.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"183,277,074","9,651,916",lab line,F,,adult,Artytom Kopp,Fukui City,,Japan,2005,,
Drosophila formosana,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,immigrans,formosana,3033.44,15111-1721.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"167,892,719","5,886,277",lab line,F,50,adult,Zee Syed/DEP,Kuala Lumpur,,Malaysia,1962,,
Drosophila ustulata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,immigrans,ustulata,MTK,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"179,054,326","13,780,150",lab line,M,50,adult,Artyom Kopp,,,,,Masayoshi Watada,
Drosophila neohypocausta,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,hypocausta,neohypocausta,,,NCBI SRA,SRR13131084,"Suvorov et al. 2021, Curr Bio",Illumina + SPAdes,"158,294,170","127,245",,M,,,,,,Papua New Guinea,,,
Drosophila niveifrons,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,niveifrons,DS 71,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"153,014,204","14,497,174",lab line,F,50,adult,Jan Hrcek,"Dinden, Queensland","-16.9384111, 145.6102",Australia,2022,Jan Hrcek,
Drosophila sulfurigaster albostrigata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,sulfurigaster albostrigata,,15112-1811.04,NCBI GenBank,GCA_023558435.1,"Wei et al. 2022, MBE",ONT R9.4.1 + Illumina + HiC,"168,284,230","37,627,869",lab line,F,,adult,,Siem Reap,,Cambodia,,,
Drosophila neonasuta,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,neonasuta,IND_DNNAS_KL14,,NCBI GenBank,GCA_005889595.1,Jaypee Institute of Information Technology,Illumina,"131,273,702","4,802",lab line,MF,,adult,,"Kochi, Kerala",,India,2015-Jul,Sujata Mohanty,
Drosophila pulaua,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,pulaua,,15112-1801.00,NCBI SRA,SRR10100334,"Mai et al. 2019, MBE",Illumina + SPAdes,"245,809,320","19,977",lab line,F,,adult,,Sarawal,,Malaysia,,,
Drosophila sulfurigaster bilimbata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,sulfurigaster bilimbata,,15112-1821.10,NCBI GenBank,GCA_023558465.1,"Wei et al. 2022, MBE",ONT R9.4.1 + Illumina + HiC,"164,595,183","36,279,119",lab line,F,,adult,,Mariana Islands,,Guam,,,
Drosophila sulfurigaster sulfurigaster,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,sulfurigaster sulfurigaster,,15112-1831.01,NCBI GenBank,GCA_023558475.1,"Wei et al. 2022, MBE",ONT R9.4.1 + Illumina + HiC,"165,884,258","35,818,991",lab line,F,,adult,,Kavieng,,Papua New Guinea,,,
Drosophila kohkoa,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,kohkoa,X-145,,NCBI GenBank,GCA_019972355.1,"Nozawa et al. 2021, Genome Res",PacBio Sequel + Illumina,"170,668,061","3,597,765",lab line,F,,,,,,,,,
Drosophila pallidifrons,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,pallidifrons,PN175_E-19901,PN175_E-19901,NCBI GenBank,GCA_023558445.1 ,"Wei et al. 2022, MBE",ONT R9.4.1 + Illumina + HiC,"164,659,715","37,973,042",lab line,F,,adult,,Ponape,,Federated States of Micronesia,,,
Drosophila kepulauana,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,kepulauana,,15112-1761.03,NCBI GenBank,GCA_023558455.1,"Wei et al. 2022, MBE",ONT R9.4.1 + Illumina + HiC,"163,769,021","34,564,094",lab line,F,,adult,,Ulu Temburong,,Borneo,,,
Drosophila nasuta,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,nasuta,,15112-1781.00,NCBI GenBank,GCA_023558535.1,"Wei et al. 2022, MBE",ONT R9.4.1 + Illumina + HiC,"171,781,232","33,885,645",lab line,F,,adult,,Mysore,,India,,,
Drosophila albomicans,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,immigrans,nasuta,albomicans,,15112-1751.03,NCBI RefSeq,GCF_009650485.2,"Mai et al. 2019, MBE",PacBio RS II + Illumina + HiC,"167,525,814","35,291,776",lab line,F,,adult,,Nankang,,Taiwan,,,
Drosophila tripunctata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,tripunctata,tripunctata subgroup IV,tripunctata,A5-2 b1 F7 b1b,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"168,906,573","2,379,707",lab line,MF,,adult,"Sarah Diamond, Ryan Martin, Nicole Crown","Cleveland Heights, OH",,USA,2021,,
Drosophila pallidipennis,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,pallidipennis,,pallidipennis,,15210-2331.01,NCBI SRA,SRR9426116,"Ellison and Bachtrog 2019, Plos Gen**",Illumina + SPAdes,"186,331,361","117,741",,F,,adult,,,,,,,
Drosophila ornatifrons,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,guarani,guarani,ornatifrons,,15172-2151.00,NCBI SRA,SRR9426095,"Ellison and Bachtrog 2019, Plos Gen**",Illumina + SPAdes,"215,910,655","5,381",,F,,adult,,,,,,,naming conflict? guarani on SRA
Drosophila subbadia,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,guarani,guarani,subbadia,,15172-2161.00,NCBI SRA,SRR9426097,"Ellison and Bachtrog 2019, Plos Gen**",Illumina + SPAdes,"204,922,148",313,,F,,adult,,,,,,,
Drosophila cardini,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,cardini,cardini,cardini,,15181-2181.03,NCBI GenBank,GCA_018903735.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"181,105,816","4,216,638",lab line,M,,adult,Daniel Matute,Mogi das Cruzes,,Brazil,1958,,
Drosophila parthenogenetica,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,cardini,cardini,parthenogenetica,(Mateos) ISOFRAN-10,15181-2221.03,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"159,568,595","9,880,424",lab line,F,50,adult,Zee Syed/DEP,,,,,,
Drosophila acutilabella,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,cardini,cardini,acutilabella,,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"159,932,574","11,349,356",lab line,M,50,adult,Artyom Kopp,Siem Reap,,Cambodia,1968,,
Drosophila dunni,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,cardini,dunni,dunni,,15182-2291.00,NCBI GenBank,GCA_018152125.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"177,495,819","14,045,695",lab line,M,,adult,,Mayaguez,,Puerto Rico,1957,,
Drosophila nigrodunni,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,cardini,dunni,nigrodunni,,15182-2311.00,NCBI GenBank,GCA_020829145.1,"Hill et al. 2021, G3",ONT R9.4.1 + Illumina,"145,305,457","17,162,308",lab line,F,,,,,,Barbados,,,
Drosophila arawakana,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,cardini,dunni,arawakana,,15182-2261.03,NCBI GenBank,GCA_018151165.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"171,389,560","4,863,239",lab line,M,,adult,,"Saint Kitts, Monkey Hill",,Saint Kitts and Nevis,2005,,
Drosophila macrospina,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,funebris,macrospina,macrospina,Dmax_TW21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"143,058,898","4,884,485",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2021-Jun,Thomas Werner,
Drosophila funebris,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,funebris,funebris,funebris,idDroFune2.1,,NCBI GenBank,GCA_958295475.1,Darwin TOL,PB HiFi + HiC,"181,096,236","26,827,462",lab line,M,1,adult,Darren J. Obbard,"Drumness, Perthshire, Scotland","56.3204, -3.7811",United Kingdom,2021-10-02,Darren J. Obbard,
Drosophila putrida,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,testacea,,putrida,Dput_TW21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"150,775,697","3,315,485",wild,M,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2021-Jun,,
Drosophila neotestacea,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,testacea,,neotestacea,Dnet_TW22,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"161,338,693","2,465,813",wild,F,1,adult,Thomas Werner,"LL Stub Stewart State Park, OR",,USA,2022-Jul,,
Drosophila testacea,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,testacea,,testacea,Dtes_DO21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"164,007,512","1,937,950",wild,F,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0932, 0.1698",United Kingdom,2021-09-05,Darren J. Obbard,
Drosophila histrio,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,histrio,,histrio,idDroHist2.1,,NCBI GenBank,GCA_958299025.1,Darwin TOL,PB HiFi + HiC,"189,265,883","62,479,567",wild,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0932, 0.1698",United Kingdom,2021-Sep-04,Darren J. Obbard,
Drosophila kuntzei,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,kuntzei,Dkun_DO21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"171,842,863","2,277,826",wild,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0932, 0.1698",United Kingdom,2021-09-05,Darren J. Obbard,
Drosophila phalerata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,phalerata,idDroPhal2.1,,NCBI GenBank,GCA_951394115.1,Darwin TOL,PB HiFi + HiC,"223,932,721","61,822,819",lab line,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0932, 0.1698",United Kingdom,2021-09-05,Darren J. Obbard,
Drosophila innubila,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,innubila,TH190305,,NCBI GenBank,GCA_004354385.2,"Hill et al. 2019, MBE",ONT R9.4.1 + Illumina,"166,284,835","29,570,401",lab line,F,,,,Arizona,,USA,,,
Drosophila falleni,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,falleni,D.falleni_G1#5,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"168,337,960","8,746,158",lab line,F,50,adult,Zee Syed/DEP,,,,,,This was a recent acquisitation at DSSC before thay had assigned a stock #. They seem to have lost the stock since
Drosophila rellima,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,rellima,Drll_TW22,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"153,024,811","6,047,347",wild,F,1,,Thomas Werner,"LL Stub Stewart State Park, OR",,USA,2022-Jul,,
Drosophila guttifera,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,guttifera,A5,,NCBI SRA,"DRR061001,DRR061002,DRR061003",Natl Institute of Genetics (Japan),Illumina PE+MP3k+MP5k,"187,432,177","58,978",lab line,F,,adult,,,,,,,
Drosophila quinaria,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,quinaria,Dqui_CRE,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"190,504,675","8,437,828",lab line,F,50,adult,Zee Syed/DEP,,,,,,
Drosophila suboccidentalis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,suboccidentalis,Dsuo_TW22,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"182,989,171","518,160",wild,M,1,adult,Thomas Werner,"Flatiron Campground, CO",,USA,2022-Jul,,
Drosophila subquinaria,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,subquinaria,Dsqu_TW22,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"194,544,650","236,195",wild,F,1,adult,Thomas Werner,"LL Stub Stewart State Park, OR",,USA,2022-Jul,,
Drosophila recens,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,quinaria,,recens,Drec_TW22,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"220,825,164","120,551",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2022-Jul,,
Mulgravea parasiatica,0,1,Drosophilidae,Drosophilinae,Drosophilini,Mulgravea,,,,parasiatica,Mpar_MT130,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"330,455,074",455,wild,M,1,adult,Masanori J. Toda,"Bogor, West Java",,Indonesia,2012-Jun-23,,
Zygothrica flavofinira,1,1,Drosophilidae,Drosophilinae,Drosophilini,Zygothrica,,,samoaensis,flavofinira,Zfla_MT450,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"150,172,222","1,310,356",wild,F,1,adult,Masanori J. Toda,"Cikaniki, Gn. Halimun, West Java",,Indonesia,2009-Jul-6,Masanori J. Toda,
Hirtodrosophila trivittata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,quadrivittata,trivittata,trivittata,Htri_DO,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"167,043,391","7,939,222",wild,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0884, 0.1658",United Kingdom,2020-Aug-7,Darren J. Obbard,
Zygothrica quintamaculata,0,1,Drosophilidae,Drosophilinae,Drosophilini,Zygothrica,,,leptorostra,quintamaculata,Zqui_MT42,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"157,388,235","228,427",wild,F,1,adult,Masanori J. Toda,"PHQ, Mt. Kinabalu, Sabah",,Malaysia,2008-Mar-10,Masanori J. Toda,
Hirtodrosophila uokogiri,0,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,,,uokogiri,Huok_MT27,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"267,792,074",680,wild,F,1,adult,Masanori J. Toda,Tomakomai,,Japan,2008-Aug-4to8,,
Hirtodrosophila cameraria,1,0,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,melanderi,,cameraria,,,NCBI GenBank,GCA_949708635.1,Darwin ToL,PB HiFi + HiC,"214,511,801","82,766,246",wild,F,1,adult,Darren J. Obbard,"Hermitage of Braid, Edinburgh, Scotland","55.9201, -3.1937",United Kingdom,2021-Oct,Darren J. Obbard,
Hirtodrosophila histrioides,1,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,quadrivittata,confusa,histrioides,,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"204,287,912","1,459,694",lab line,M,1,adult,Toru Katoh,,,,,,
Hirtodrosophila confusa,1,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,quadrivittata,confusa,confusa,Hcon_DO21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"213,335,717","6,095,536",wild,F,1,adult,Darren J. Obbard,"Hermitage of Braid, Edinburgh, Scotland","55.9201, -3.1937",United Kingdom,2021-Oct,Darren J. Obbard,
Hirtodrosophila caputudis,0,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,quadrivittata,quadrivittata,caputudis,Hcap_MT172,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"267,792,074",680,wild,F,1,adult,Masanori J. Toda,"Poring, Sabah",,Malaysia,2002-Mar-19,,
Hirtodrosophila alboralis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Hirtodrosophila,,quadrivittata,trivittata,alboralis,Halb_MT24,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"179,590,224","662,201",wild,F,1,adult,Masanori J. Toda,"Metaki R., Kazamaura, Shimokita, Aomori Pref.",,Japan,2014-Jun-29,Masanori J. Toda,
Mycodrosophila poecilogastra,0,1,Drosophilidae,Drosophilinae,Drosophilini,Mycodrosophila,,,,poecilogastra,Mpoe_MT45,,NCBI GenBank,PENDING,Kim et al. - PENDING,Illumina,"348,460,214","1,400",wild,F,1,adult,Masanori J. Toda,"Nametoko-keikoku, Ehime Pref.",,Japan,2012-Oct-10,Masanori J. Toda,
Drosophila lacertosa,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,robusta,lacertosa,lacertosa,E-14007_faw,,NCBI GenBank,GCA_004143845.1,"Ellison and Bachtrog 2019, Plos Bio",Illumina,"154,130,906","162,096",lab line,F,1,adult,,,,,,,
Drosophila colorata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,melanica,,colorata,Dcol_TW22-3,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"186,555,170","6,196,978",wild,F,1,adult,Thomas Werner,"Houghton, MI",,USA,2022-May,,
Drosophila robusta,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,robusta,robusta,robusta,Drob_TW21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"162,539,374","11,166,795",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2021-Aug,,
Drosophila sordidula,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,robusta,robusta,sordidula,3040.38,15020-1121.01,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"166,348,895","8,644,452",wild,F,50,adult,Zee Syed/DEP,Sugadaira.,,Japan,1965,,
Drosophila micromelanica,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,melanica,,micromelanica,15030.1151.01_maw,15030.1151.01,NCBI GenBank,GCA_004143825.1,"Ellison and Bachtrog 2019, Plos Bio",Illumina,"156,838,486","50,769",lab line,M,,adult,,,,USA,2015,,
Drosophila nigromelanica,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Drosophila,melanica,,nigromelanica,E-22901_maw,,NBCI GenBank,GCA_004149465.1,"Ellison and Bachtrog 2019, Plos Bio",Illumina,"155,317,739","23,593",lab line,M,,adult,,,,USA,2015,,
